Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Kyle Dugger,S,NE,85%,32%,0%,58%,58%,74%,32%,0%,69%,bye,90%,72%,99%,85%,84%,86%,92%,98%,752,0.74
Fabian Moreau,CB,NYG,0%,29%,61%,79%,83%,100%,100%,72%,bye,88%,45%,0%,100%,81%,100%,100%,95%,0%,749,0.82
Denzel Ward,CB,CLE,85%,94%,100%,100%,79%,0%,0%,0%,bye,77%,83%,97%,86%,97%,100%,98%,67%,14%,748,0.83
Leighton Vander Esch,LB,DAL,85%,90%,83%,92%,69%,76%,90%,87%,bye,95%,74%,88%,85%,85%,7%,0%,0%,0%,746,0.79
Nick Bosa,DE,SF,78%,73%,77%,78%,38%,0%,66%,83%,bye,97%,70%,79%,83%,71%,80%,75%,86%,48%,746,0.74
Bradley Chubb,LB,Multi,84%,76%,79%,71%,72%,72%,73%,71%,73%,66%,0%,62%,57%,62%,72%,42%,0%,32%,745,0.67
Justin Jones,DT,CHI,63%,62%,73%,62%,62%,74%,67%,67%,75%,66%,84%,76%,74%,bye,78%,69%,66%,51%,744,0.68
David Long Jr.,LB,TEN,100%,81%,100%,100%,100%,bye,95%,100%,100%,76%,100%,94%,32%,0%,0%,0%,0%,0%,740,0.89
Kayvon Thibodeaux,DE,NYG,0%,0%,58%,74%,81%,83%,89%,78%,bye,81%,69%,73%,87%,81%,79%,97%,72%,0%,740,0.79
Jonathan Allen,DT,WAS,77%,85%,73%,80%,83%,86%,0%,79%,94%,84%,80%,89%,98%,bye,89%,96%,0%,0%,738,0.85
Marcus Peters,CB,BAL,0%,62%,95%,100%,100%,91%,100%,97%,98%,bye,98%,100%,100%,98%,62%,0%,0%,0%,736,0.92
Kyle Van Noy,LB,LAC,48%,46%,55%,61%,55%,72%,89%,bye,70%,82%,68%,92%,82%,92%,92%,77%,53%,54%,734,0.70
Michael Carter II,S,NYJ,32%,54%,69%,61%,58%,86%,63%,76%,73%,bye,57%,68%,46%,81%,72%,67%,64%,60%,732,0.64
Montez Sweat,DE,WAS,73%,85%,71%,72%,66%,68%,83%,71%,70%,70%,57%,72%,47%,bye,75%,79%,67%,69%,731,0.70
George Karlaftis III,DE,KC,78%,77%,80%,61%,86%,56%,65%,bye,65%,80%,55%,69%,46%,61%,51%,41%,51%,64%,730,0.64
Anthony Brown,CB,DAL,100%,100%,100%,100%,100%,100%,98%,92%,bye,36%,95%,100%,60%,0%,0%,0%,0%,0%,729,0.90
C.J. Gardner-Johnson,S,PHI,97%,100%,100%,100%,100%,76%,bye,100%,98%,100%,100%,22%,0%,0%,0%,0%,0%,100%,729,0.93
Andrew Adams,S,TEN,0%,0%,0%,68%,38%,bye,97%,80%,97%,100%,98%,47%,90%,78%,97%,36%,85%,0%,727,0.79
Kamren Curl,S,WAS,0%,0%,87%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,0%,0%,0%,727,0.99
Germaine Pratt,LB,CIN,71%,70%,0%,66%,82%,81%,98%,82%,41%,bye,64%,72%,78%,81%,76%,84%,0%,85%,724,0.76
Ernest Jones,LB,LAR,58%,79%,63%,72%,76%,75%,bye,91%,57%,75%,84%,64%,69%,70%,48%,45%,66%,57%,723,0.66
Kenneth Murray Jr.,LB,LAC,71%,47%,63%,63%,72%,74%,89%,bye,66%,66%,43%,85%,75%,96%,77%,83%,67%,35%,719,0.69
Julian Blackmon,S,IND,100%,86%,19%,0%,0%,0%,36%,39%,52%,64%,69%,75%,100%,bye,99%,100%,100%,100%,718,0.76
Rodney Thomas II,S,IND,0%,0%,81%,100%,100%,100%,64%,61%,48%,36%,31%,25%,85%,bye,86%,90%,90%,86%,718,0.72
Frank Clark,DE,KC,54%,65%,72%,88%,45%,84%,70%,bye,0%,0%,80%,80%,76%,82%,70%,76%,76%,24%,717,0.69
Dre'Mont Jones,DT,DEN,93%,84%,84%,83%,73%,75%,64%,76%,bye,82%,86%,89%,83%,81%,0%,0%,0%,0%,716,0.81
Roy Robertson-Harris,DT,JAC,57%,52%,43%,80%,74%,60%,68%,52%,49%,60%,bye,56%,57%,55%,71%,83%,50%,69%,714,0.61
Javon Hargrave,DT,PHI,55%,62%,53%,70%,67%,72%,bye,61%,68%,80%,72%,63%,51%,48%,63%,75%,65%,65%,712,0.64
Christian Harris,LB,HOU,0%,0%,0%,0%,0%,bye,68%,100%,88%,100%,100%,20%,100%,99%,100%,100%,100%,100%,712,0.89
Levi Wallace,CB,PIT,33%,87%,36%,100%,68%,0%,98%,0%,bye,100%,89%,95%,94%,46%,87%,98%,54%,88%,709,0.76
Ryan Neal,S,SEA,3%,0%,0%,49%,100%,100%,100%,85%,100%,97%,bye,99%,73%,99%,100%,0%,0%,0%,706,0.84
Jarran Reed,DT,GB,68%,71%,62%,71%,77%,67%,65%,68%,73%,69%,80%,57%,69%,bye,62%,68%,57%,79%,705,0.68
Adrian Phillips,S,NE,45%,87%,100%,74%,67%,80%,62%,81%,60%,bye,52%,52%,47%,51%,63%,45%,63%,39%,704,0.62
Troy Hill,CB,LAR,95%,34%,0%,0%,0%,0%,bye,42%,99%,99%,98%,99%,0%,97%,100%,93%,100%,99%,704,0.89
Mike Hilton,CB,CIN,84%,66%,97%,86%,51%,78%,62%,64%,0%,bye,86%,74%,95%,89%,0%,89%,0%,54%,701,0.77
Eddie Jackson,S,CHI,100%,100%,88%,100%,100%,100%,100%,100%,100%,98%,100%,41%,0%,bye,0%,0%,0%,0%,698,0.94
DeMarcus Lawrence,DE,DAL,60%,67%,54%,69%,55%,62%,58%,61%,bye,72%,40%,62%,68%,65%,69%,63%,48%,55%,697,0.61
De'Vondre Campbell,LB,GB,100%,100%,100%,100%,100%,100%,100%,39%,0%,0%,0%,0%,100%,bye,100%,100%,79%,100%,694,0.94
Harrison Phillips,DT,MIN,59%,64%,71%,67%,56%,53%,bye,62%,66%,72%,64%,56%,62%,63%,59%,51%,49%,31%,694,0.60
Yannick Ngakoue,DE,IND,81%,69%,68%,59%,67%,0%,68%,70%,73%,84%,85%,77%,76%,bye,69%,71%,0%,0%,691,0.73
Quinnen Williams,DT,NYJ,64%,57%,68%,61%,70%,67%,62%,72%,74%,bye,68%,68%,72%,29%,0%,60%,68%,68%,690,0.64
Myles Bryant,CB,NE,52%,83%,37%,55%,50%,71%,44%,58%,66%,bye,60%,46%,45%,63%,63%,80%,100%,59%,689,0.61
Trent McDuffie,CB,KC,49%,0%,0%,0%,0%,0%,0%,bye,96%,98%,95%,100%,100%,99%,100%,100%,100%,100%,682,0.94
Elandon Roberts,LB,MIA,63%,68%,51%,58%,66%,75%,47%,58%,77%,40%,bye,49%,67%,54%,42%,77%,68%,61%,680,0.59
Jeremy Chinn,S,CAR,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,bye,100%,100%,100%,100%,100%,677,1.00
Jordan Elliott,DT,CLE,77%,67%,68%,91%,68%,71%,77%,0%,bye,49%,66%,49%,58%,61%,63%,78%,45%,64%,675,0.65
Fletcher Cox,DT,PHI,57%,66%,47%,74%,70%,75%,bye,58%,70%,84%,74%,63%,49%,45%,0%,68%,65%,62%,673,0.64
Myles Jack,LB,PIT,87%,87%,92%,96%,95%,74%,84%,89%,bye,0%,62%,69%,76%,56%,0%,0%,0%,34%,670,0.77
Sebastian Joseph-Day,DT,LAC,0%,70%,64%,67%,75%,62%,73%,bye,87%,87%,60%,79%,70%,0%,82%,65%,71%,55%,670,0.71
Marcus Maye,S,NO,100%,85%,0%,0%,0%,100%,100%,100%,100%,0%,100%,100%,100%,bye,100%,0%,0%,0%,669,0.99
Nate Hobbs,CB,LV,99%,100%,76%,100%,79%,bye,0%,0%,0%,0%,0%,0%,96%,100%,100%,96%,99%,51%,669,0.91
Rock Ya-Sin,CB,LV,81%,100%,79%,0%,67%,bye,100%,100%,100%,100%,100%,98%,52%,0%,0%,0%,0%,0%,665,0.89
Carl Lawson,DE,NYJ,52%,58%,66%,53%,73%,74%,63%,53%,60%,bye,49%,51%,59%,64%,60%,46%,53%,54%,663,0.58
Alontae Taylor,CB,NO,0%,28%,0%,0%,0%,0%,100%,100%,88%,95%,100%,64%,100%,bye,97%,86%,0%,100%,663,0.87
Zach Allen,DE,ARI,83%,84%,83%,94%,79%,84%,83%,77%,77%,70%,78%,79%,bye,54%,0%,0%,0%,0%,660,0.79
Will Harris,S,DET,9%,100%,28%,13%,28%,bye,0%,57%,76%,64%,97%,100%,89%,0%,97%,75%,94%,62%,660,0.65
Jerry Hughes,DE,HOU,60%,54%,71%,59%,65%,bye,0%,59%,65%,61%,63%,58%,56%,59%,55%,56%,56%,51%,659,0.59
Davon Godchaux,DT,NE,58%,44%,73%,66%,61%,53%,82%,53%,44%,bye,58%,67%,73%,52%,49%,52%,48%,58%,659,0.58
Jihad Ward,DT,NYG,88%,91%,66%,60%,73%,46%,66%,81%,bye,64%,64%,64%,35%,44%,41%,62%,57%,0%,657,0.62
Benjamin St-Juste,CB,WAS,87%,69%,91%,71%,89%,99%,100%,100%,100%,100%,80%,0%,0%,bye,0%,85%,0%,0%,655,0.89
Devin Bush Jr.,LB,PIT,51%,46%,76%,83%,66%,64%,74%,74%,bye,85%,53%,100%,87%,84%,54%,40%,10%,0%,654,0.66
Kristian Fulton,CB,TEN,100%,0%,99%,100%,94%,bye,100%,100%,100%,0%,70%,100%,26%,0%,0%,0%,0%,100%,653,0.89
Greg Gaines,DT,LAR,93%,80%,94%,100%,91%,0%,bye,58%,0%,0%,91%,88%,75%,83%,97%,55%,22%,0%,652,0.79
Amik Robertson,CB,LV,0%,85%,40%,100%,72%,bye,54%,44%,30%,51%,0%,6%,79%,33%,83%,97%,99%,100%,648,0.65
DaQuan Jones,DT,BUF,69%,52%,77%,70%,49%,55%,bye,56%,58%,53%,55%,58%,56%,73%,76%,56%,0%,74%,643,0.61
John Franklin-Myers,DE,NYJ,50%,46%,53%,48%,66%,63%,54%,63%,58%,bye,57%,56%,63%,64%,57%,58%,49%,52%,643,0.56
Matt Ioannidis,DE,CAR,60%,74%,74%,79%,73%,82%,0%,82%,74%,78%,0%,0%,bye,43%,74%,61%,69%,0%,641,0.71
Marcus Williams,S,BAL,100%,100%,100%,100%,46%,0%,0%,0%,0%,bye,0%,0%,0%,98%,97%,99%,100%,100%,638,0.94
Odafe Oweh,DE,BAL,81%,82%,86%,95%,87%,57%,55%,56%,57%,bye,40%,40%,32%,35%,38%,37%,44%,48%,634,0.58
Anthony Nelson,DE,TB,32%,25%,24%,36%,29%,27%,36%,45%,53%,69%,bye,56%,69%,83%,100%,100%,100%,75%,633,0.56
David Onyemata,DT,NO,63%,64%,57%,0%,65%,61%,62%,45%,54%,50%,56%,59%,59%,bye,54%,74%,64%,69%,632,0.60
Kaden Elliss,LB,NO,39%,36%,36%,14%,54%,7%,3%,14%,57%,96%,92%,100%,95%,bye,64%,77%,67%,68%,630,0.56
Larry Ogunjobi,DT,PIT,53%,63%,67%,73%,0%,64%,63%,0%,bye,77%,58%,70%,59%,62%,67%,81%,81%,69%,629,0.66
Trey Hendrickson,DE,CIN,94%,85%,59%,83%,63%,76%,57%,54%,59%,bye,70%,72%,71%,76%,0%,43%,0%,23%,629,0.65
Bradley Roby,CB,NO,100%,100%,98%,79%,56%,100%,8%,0%,0%,0%,0%,36%,90%,bye,53%,76%,84%,73%,628,0.74
Jaylon Smith,LB,NYG,0%,0%,0%,50%,65%,54%,66%,84%,bye,64%,87%,91%,74%,84%,78%,68%,62%,0%,626,0.72
Darren Hall,CB,ATL,0%,40%,0%,21%,0%,63%,100%,99%,97%,100%,100%,100%,100%,bye,87%,12%,20%,0%,623,0.73
Justin Madubuike,DT,BAL,51%,51%,61%,58%,54%,69%,62%,66%,45%,bye,0%,71%,62%,55%,70%,70%,64%,50%,622,0.60
Aaron Donald,DT,LAR,86%,90%,96%,94%,71%,80%,bye,100%,89%,96%,98%,79%,0%,0%,0%,0%,0%,0%,616,0.89
Trevis Gipson,DE,CHI,38%,34%,41%,43%,58%,0%,48%,67%,74%,89%,64%,62%,50%,bye,67%,73%,72%,76%,616,0.60
Osa Odighizuwa,DE,DAL,58%,53%,50%,49%,52%,73%,53%,58%,bye,59%,32%,50%,46%,65%,60%,54%,32%,65%,616,0.54
Malcolm Rodriguez,LB,DET,60%,73%,76%,79%,83%,bye,73%,68%,26%,0%,37%,49%,39%,51%,57%,62%,50%,30%,614,0.57
DaVon Hamilton,DT,JAC,48%,44%,33%,61%,69%,58%,61%,52%,46%,43%,bye,58%,37%,57%,73%,47%,39%,57%,610,0.52
Anthony Barr,LB,DAL,56%,87%,61%,70%,65%,34%,88%,32%,bye,0%,0%,0%,33%,47%,93%,77%,66%,85%,609,0.63
Taven Bryan,DT,CLE,83%,71%,52%,0%,49%,64%,84%,68%,bye,49%,66%,74%,49%,0%,59%,56%,55%,66%,608,0.63
Willie Gay Jr.,LB,KC,65%,92%,0%,0%,0%,0%,57%,bye,73%,67%,82%,87%,72%,62%,73%,61%,63%,56%,608,0.69
Rashad Weaver,DE,TEN,48%,84%,81%,70%,70%,bye,41%,0%,55%,54%,0%,49%,48%,39%,56%,45%,71%,51%,606,0.58
Leonard Williams,DT,NYG,82%,59%,0%,0%,0%,92%,86%,92%,bye,92%,85%,84%,41%,0%,84%,62%,53%,0%,604,0.75
Maliek Collins,DT,HOU,54%,47%,68%,67%,60%,bye,18%,0%,0%,55%,54%,55%,68%,66%,62%,69%,59%,55%,603,0.57
Derek Stingley Jr.,CB,HOU,100%,94%,100%,87%,100%,bye,100%,100%,100%,90%,0%,0%,0%,0%,0%,0%,0%,0%,600,0.97
Jaylen Watson,CB,KC,51%,68%,83%,88%,62%,99%,90%,bye,12%,34%,22%,0%,0%,36%,32%,46%,69%,67%,600,0.59
K'Waun Williams,CB,DEN,47%,79%,64%,65%,84%,81%,56%,67%,bye,61%,0%,0%,0%,69%,80%,48%,65%,12%,598,0.64
Pete Werner,LB,NO,81%,81%,97%,83%,88%,95%,85%,98%,60%,0%,0%,0%,0%,bye,74%,0%,44%,51%,597,0.78
DaRon Bland,CB,DAL,0%,0%,0%,80%,0%,0%,12%,62%,bye,55%,74%,91%,86%,91%,93%,94%,95%,45%,596,0.74
Byron Murphy Jr.,CB,ARI,100%,99%,100%,100%,100%,100%,100%,100%,100%,0%,0%,0%,bye,0%,0%,0%,0%,0%,593,1.00
Johnathan Abram,S,Multi,100%,99%,100%,96%,75%,0%,83%,34%,46%,0%,2%,0%,0%,0%,0%,68%,100%,100%,592,0.77
Cam Taylor-Britt,CB,CIN,0%,0%,0%,0%,0%,0%,60%,99%,100%,bye,100%,91%,98%,100%,78%,100%,0%,100%,591,0.93
Jaylon Johnson,CB,CHI,99%,0%,0%,0%,0%,100%,100%,98%,100%,84%,100%,100%,100%,bye,88%,0%,0%,0%,590,0.97
Robert Spillane,LB,PIT,29%,32%,42%,39%,34%,71%,58%,46%,bye,100%,58%,0%,24%,57%,100%,100%,100%,100%,588,0.59
Josh Sweat,DE,PHI,71%,57%,61%,66%,67%,64%,bye,55%,58%,43%,55%,59%,49%,47%,75%,68%,10%,0%,587,0.56
Bryce Callahan,CB,LAC,79%,84%,62%,65%,60%,76%,56%,bye,31%,32%,83%,70%,51%,0%,58%,83%,65%,0%,586,0.63
Keanu Neal,S,TB,0%,3%,2%,58%,50%,100%,82%,100%,100%,0%,bye,80%,98%,100%,48%,12%,8%,46%,581,0.59
Morgan Fox,DE,LAC,48%,49%,45%,53%,49%,38%,35%,bye,54%,68%,62%,65%,66%,73%,73%,60%,57%,48%,576,0.55
Carlos Dunlap II,DE,KC,40%,23%,44%,44%,58%,37%,58%,bye,61%,75%,35%,37%,54%,40%,48%,71%,50%,73%,572,0.50
Poona Ford,DT,SEA,47%,83%,61%,55%,64%,56%,28%,52%,0%,64%,bye,43%,47%,67%,70%,62%,0%,36%,572,0.56
Jahlani Tavai,LB,NE,28%,24%,33%,75%,79%,63%,69%,44%,56%,bye,46%,45%,27%,55%,51%,52%,48%,53%,570,0.50
Eric Rowe,CB,MIA,0%,59%,29%,64%,10%,21%,23%,0%,77%,75%,bye,90%,95%,66%,0%,80%,87%,57%,569,0.60
Rasheem Green,DE,HOU,0%,54%,57%,53%,61%,bye,59%,66%,74%,61%,38%,55%,44%,46%,40%,44%,41%,49%,568,0.52
Mike Hughes,CB,DET,68%,91%,61%,54%,45%,bye,0%,0%,53%,49%,47%,94%,0%,97%,0%,35%,65%,62%,563,0.63
Darnay Holmes,CB,NYG,62%,84%,55%,48%,71%,0%,80%,45%,bye,59%,51%,43%,0%,60%,67%,67%,72%,0%,562,0.61
D.J. Wonnum,DE,MIN,34%,44%,44%,70%,50%,0%,bye,55%,44%,44%,68%,45%,55%,59%,48%,42%,60%,73%,562,0.52
Shelby Harris,DE,SEA,68%,0%,0%,58%,55%,62%,52%,62%,54%,56%,bye,58%,64%,0%,66%,64%,51%,56%,559,0.59
Kwon Alexander,LB,NYJ,66%,46%,37%,92%,94%,27%,65%,42%,37%,bye,56%,39%,32%,27%,51%,47%,35%,43%,559,0.49
Sheldon Rankins,DT,NYJ,54%,58%,56%,50%,64%,60%,49%,63%,16%,bye,0%,0%,51%,75%,71%,60%,44%,49%,558,0.55
Al-Quadin Muhammad,DE,CHI,63%,57%,61%,54%,56%,65%,52%,83%,77%,0%,47%,0%,55%,bye,49%,59%,52%,45%,558,0.58
Denzel Perryman,LB,LV,39%,0%,0%,21%,68%,bye,57%,69%,75%,0%,69%,83%,80%,100%,100%,72%,0%,0%,555,0.70
Adoree' Jackson,CB,NYG,100%,100%,99%,100%,59%,100%,90%,100%,bye,100%,27%,0%,0%,0%,0%,0%,0%,0%,554,0.87
Xavier McKinney,S,NYG,100%,100%,100%,100%,100%,100%,100%,100%,bye,0%,0%,0%,0%,0%,0%,0%,83%,0%,554,0.98
Dalvin Tomlinson,DT,MIN,64%,73%,74%,73%,72%,58%,bye,37%,0%,0%,0%,0%,68%,61%,65%,65%,54%,31%,551,0.62
Calais Campbell,DE,BAL,49%,63%,89%,70%,63%,66%,67%,0%,63%,bye,63%,62%,64%,65%,42%,0%,0%,48%,550,0.62
Baron Browning,LB,DEN,60%,48%,34%,57%,54%,72%,0%,0%,bye,0%,64%,68%,69%,66%,69%,71%,0%,60%,549,0.62
Kyle Hamilton,S,BAL,50%,54%,24%,27%,22%,45%,35%,53%,75%,bye,37%,0%,55%,91%,58%,70%,77%,83%,548,0.53
Dorance Armstrong Jr.,DE,DAL,45%,43%,64%,54%,51%,52%,53%,39%,bye,50%,53%,42%,49%,45%,20%,54%,51%,42%,543,0.47
Jerry Jacobs,CB,DET,0%,0%,0%,0%,0%,bye,2%,0%,61%,52%,71%,82%,100%,97%,98%,100%,73%,100%,542,0.77
Charles Omenihu,DE,SF,0%,57%,38%,51%,67%,71%,59%,57%,bye,78%,58%,49%,0%,54%,53%,48%,41%,67%,540,0.56
Nick McCloud,CB,NYG,0%,0%,0%,0%,41%,0%,18%,52%,bye,20%,58%,100%,100%,91%,73%,60%,55%,96%,537,0.65
Raekwon Davis,DT,MIA,63%,54%,0%,59%,64%,77%,60%,55%,59%,46%,bye,44%,0%,45%,32%,62%,68%,52%,536,0.55
John Cominsky,DT,DET,36%,42%,0%,0%,0%,bye,0%,0%,41%,70%,75%,82%,77%,83%,81%,81%,63%,77%,534,0.67
Jeremiah Owusu-Koramoah,LB,CLE,85%,77%,37%,78%,75%,47%,80%,0%,bye,0%,95%,96%,78%,81%,0%,0%,0%,0%,534,0.75
Quinton Jefferson,DT,SEA,59%,57%,56%,59%,36%,55%,63%,58%,0%,35%,bye,51%,19%,56%,53%,36%,41%,43%,533,0.49
Dominique Robinson,DE,CHI,41%,31%,31%,43%,44%,0%,40%,36%,40%,87%,89%,56%,52%,bye,53%,52%,66%,66%,533,0.52
Denico Autry,DE,TEN,62%,49%,67%,71%,68%,bye,72%,72%,76%,65%,44%,0%,0%,0%,0%,64%,0%,86%,532,0.66
Samson Ebukam,LB,SF,50%,45%,58%,53%,71%,81%,73%,72%,bye,0%,0%,61%,59%,50%,58%,67%,0%,54%,532,0.61
DeShawn Williams,DT,DEN,62%,44%,57%,40%,48%,43%,0%,0%,bye,52%,58%,56%,57%,47%,62%,51%,72%,49%,531,0.52
Kindle Vildor,CB,CHI,79%,69%,98%,100%,95%,82%,92%,67%,4%,0%,60%,100%,0%,bye,0%,0%,0%,0%,531,0.79
Rakeem Nunez-Roches,DT,TB,33%,44%,56%,54%,56%,50%,54%,57%,39%,38%,bye,43%,37%,62%,65%,58%,0%,50%,528,0.50
Kwity Paye,DE,IND,79%,72%,63%,78%,45%,0%,0%,0%,73%,0%,0%,0%,68%,bye,73%,68%,83%,78%,528,0.71
D.J. Jones,DT,DEN,78%,68%,23%,64%,53%,57%,54%,64%,bye,61%,53%,58%,56%,24%,58%,0%,0%,0%,525,0.55
Amani Hooker,S,TEN,93%,81%,100%,0%,0%,bye,100%,41%,0%,0%,0%,100%,100%,88%,0%,0%,0%,100%,522,0.90
Ogbonnia Okoronkwo,LB,HOU,41%,33%,29%,40%,33%,bye,38%,28%,31%,36%,53%,47%,57%,51%,58%,54%,59%,60%,518,0.44
Dayo Odeyingbo,DE,IND,6%,23%,21%,26%,55%,37%,25%,39%,27%,60%,68%,75%,51%,bye,47%,53%,75%,80%,518,0.46
Shy Tuttle,DT,NO,55%,61%,74%,69%,52%,51%,50%,0%,49%,40%,41%,37%,40%,bye,46%,47%,0%,51%,514,0.50
Melvin Ingram III,DE,MIA,56%,54%,62%,52%,61%,46%,44%,27%,36%,51%,bye,59%,25%,46%,28%,20%,47%,55%,512,0.45
Jimmie Ward,DB,SF,0%,0%,0%,0%,0%,0%,88%,97%,bye,83%,65%,49%,70%,92%,66%,63%,64%,77%,509,0.74
Ade Ogundeji,LB,ATL,64%,46%,48%,52%,48%,0%,47%,30%,41%,45%,43%,71%,60%,bye,0%,71%,49%,53%,507,0.50
Cameron Dantzler Sr.,CB,MIN,90%,71%,100%,90%,100%,100%,bye,100%,30%,0%,0%,0%,0%,49%,0%,0%,11%,0%,505,0.75
Lawrence Guy Sr.,DT,NE,53%,49%,30%,0%,0%,0%,79%,58%,55%,bye,58%,72%,60%,49%,46%,54%,45%,53%,503,0.55
Vita Vea,DT,TB,61%,63%,63%,71%,61%,64%,70%,63%,61%,0%,bye,61%,63%,0%,0%,0%,58%,0%,503,0.63
T.J. Watt,LB,PIT,66%,0%,0%,0%,0%,0%,0%,0%,bye,79%,82%,86%,87%,89%,83%,87%,94%,88%,502,0.83
Ed Oliver,DT,BUF,25%,0%,0%,0%,0%,63%,bye,45%,47%,76%,75%,65%,72%,68%,69%,68%,0%,69%,502,0.62
Sione Takitaki,LB,CLE,19%,20%,52%,78%,65%,73%,56%,85%,bye,96%,89%,72%,72%,0%,0%,0%,0%,0%,497,0.65
Armon Watts,DT,CHI,31%,38%,29%,40%,47%,47%,40%,53%,65%,55%,56%,54%,56%,bye,64%,0%,42%,56%,496,0.48
Roy Lopez,DT,HOU,49%,60%,48%,54%,39%,bye,64%,47%,0%,30%,47%,42%,48%,52%,0%,51%,54%,40%,494,0.48
Jadeveon Clowney,DE,CLE,83%,49%,0%,0%,73%,0%,36%,68%,bye,64%,66%,77%,68%,70%,35%,0%,74%,0%,493,0.63
Mike Purcell,DT,DEN,45%,38%,52%,47%,38%,42%,53%,42%,bye,56%,48%,59%,25%,53%,32%,48%,60%,0%,491,0.46
Teair Tart,DT,TEN,47%,34%,39%,47%,48%,bye,0%,52%,37%,54%,49%,53%,41%,56%,0%,60%,46%,57%,489,0.47
Joshua Kalu,S,TEN,22%,40%,0%,48%,100%,bye,0%,0%,62%,29%,84%,0%,10%,24%,73%,70%,59%,92%,486,0.54
William Gholston,DE,TB,36%,43%,55%,50%,52%,36%,44%,58%,30%,25%,bye,27%,47%,65%,32%,39%,36%,57%,485,0.43
Broderick Washington Jr.,DT,BAL,40%,49%,50%,39%,35%,40%,38%,60%,31%,bye,23%,41%,42%,36%,64%,49%,57%,45%,483,0.44
Arnold Ebiketie,DE,ATL,43%,52%,61%,42%,51%,82%,53%,68%,57%,55%,52%,15%,0%,bye,36%,0%,42%,0%,483,0.51
Alex Wright,DE,CLE,32%,43%,80%,82%,25%,57%,48%,0%,bye,43%,52%,26%,42%,48%,65%,0%,35%,67%,483,0.49
Leki Fotu,DT,ARI,49%,30%,42%,0%,53%,26%,39%,45%,51%,33%,52%,26%,bye,34%,71%,58%,65%,50%,482,0.45
Arthur Maulet,CB,PIT,60%,12%,22%,74%,80%,78%,50%,61%,bye,66%,83%,28%,11%,2%,37%,28%,37%,25%,481,0.46
Ben Niemann,LB,ARI,0%,10%,31%,40%,62%,32%,33%,58%,47%,68%,26%,50%,bye,75%,28%,48%,31%,100%,481,0.46
Troy Andersen,LB,ATL,0%,14%,27%,15%,38%,100%,41%,8%,19%,26%,35%,48%,42%,bye,82%,88%,86%,95%,481,0.46
Derion Kendrick,CB,LAR,0%,0%,90%,98%,95%,100%,bye,100%,86%,0%,23%,64%,100%,0%,0%,9%,0%,0%,480,0.75
Eric Stokes,CB,GB,100%,100%,100%,100%,100%,100%,91%,98%,16%,0%,0%,0%,0%,bye,0%,0%,0%,0%,477,0.89
Kaiir Elam,CB,BUF,45%,66%,100%,99%,100%,76%,bye,58%,43%,0%,0%,30%,0%,0%,47%,48%,0%,43%,477,0.62
Arden Key,DE,JAC,32%,30%,51%,16%,34%,41%,25%,34%,49%,44%,bye,35%,34%,49%,55%,64%,59%,49%,475,0.41
Kentavius Street,DE,NO,41%,49%,52%,53%,37%,0%,41%,41%,49%,54%,47%,50%,41%,bye,51%,50%,0%,37%,475,0.47
Amani Oruwariye,CB,DET,99%,0%,99%,89%,0%,bye,100%,100%,0%,2%,58%,25%,0%,52%,0%,0%,27%,38%,475,0.65
Clelin Ferrell,DE,LV,28%,26%,45%,0%,33%,bye,63%,53%,49%,0%,34%,28%,27%,34%,28%,72%,97%,98%,473,0.47
Dean Lowry,DE,GB,61%,61%,51%,69%,66%,58%,57%,39%,60%,47%,76%,49%,50%,bye,0%,14%,0%,0%,471,0.54
Chidobe Awuzie,CB,CIN,97%,98%,100%,100%,100%,100%,94%,38%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,471,0.90
Mike Danna,DE,KC,55%,48%,0%,0%,0%,34%,0%,bye,84%,59%,48%,61%,51%,49%,49%,62%,49%,64%,471,0.54
James Smith-Williams,DE,WAS,53%,70%,0%,54%,58%,57%,78%,67%,70%,58%,55%,63%,0%,bye,62%,35%,0%,0%,471,0.60
Jalen Mills,S,NE,97%,87%,57%,0%,70%,73%,68%,59%,66%,bye,84%,91%,0%,0%,0%,0%,0%,0%,469,0.75
Alohi Gilman,S,LAC,35%,11%,16%,21%,100%,7%,0%,bye,33%,31%,15%,100%,0%,100%,100%,58%,100%,55%,467,0.51
Darrell Taylor,DE,SEA,82%,70%,67%,46%,57%,52%,44%,0%,0%,37%,bye,0%,31%,17%,27%,43%,61%,49%,464,0.49
Divine Deablo,LB,LV,94%,100%,100%,100%,100%,bye,100%,100%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,464,0.87
Greg Rousseau,DE,BUF,67%,46%,63%,57%,49%,46%,bye,56%,23%,0%,0%,0%,63%,59%,71%,68%,0%,63%,463,0.56
Oshane Ximines,LB,NYG,66%,60%,53%,21%,49%,56%,0%,0%,bye,73%,51%,60%,42%,0%,10%,0%,53%,100%,461,0.54
Kingsley Enagbare,DE,GB,16%,0%,35%,19%,30%,20%,42%,36%,42%,75%,55%,66%,56%,bye,69%,72%,59%,47%,461,0.47
Jason Pinnock,S,NYG,0%,0%,2%,0%,0%,0%,0%,0%,bye,36%,55%,100%,93%,84%,92%,100%,17%,64%,459,0.68
